gene,cancer_type,tumor_expression,survival_association,geo_validation,depmap_dependency,normal_tissue_safety,mutation_cna_support,novelty_score,notes
MKI67,GBM,positive,negative,partial,strong,moderate,weak,low,Proliferation marker; strong biological signal but low novelty.
CDKN2A,Acute myeloid leukemia,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: CDKN2A in Acute myeloid leukemia; pathway context: Cell cycle.
CDKN2B,Acute myeloid leukemia,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: CDKN2B in Acute myeloid leukemia; pathway context: Cell cycle.
CEBPA,Acute myeloid leukemia,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: CEBPA in Acute myeloid leukemia; pathway context: Hematopoietic lineage state.
CHEK1,Acute myeloid leukemia,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: CHEK1 in Acute myeloid leukemia; pathway context: DNA damage response.
CHEK2,Acute myeloid leukemia,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: CHEK2 in Acute myeloid leukemia; pathway context: DNA damage response.
CLDN18,Acute myeloid leukemia,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: CLDN18 in Acute myeloid leukemia; pathway context: Epithelial antigen / tight junction.
CREBBP,Acute myeloid leukemia,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: CREBBP in Acute myeloid leukemia; pathway context: Epigenetic regulation.
CTNNB1,Acute myeloid leukemia,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: CTNNB1 in Acute myeloid leukemia; pathway context: WNT signaling.
DNMT3A,Acute myeloid leukemia,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: DNMT3A in Acute myeloid leukemia; pathway context: Epigenetic regulation.
EGFR,Acute myeloid leukemia,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: EGFR in Acute myeloid leukemia; pathway context: RTK signaling.
EP300,Acute myeloid leukemia,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: EP300 in Acute myeloid leukemia; pathway context: Epigenetic regulation.
EPCAM,Acute myeloid leukemia,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: EPCAM in Acute myeloid leukemia; pathway context: Epithelial antigen / adhesion.
ERBB2,Acute myeloid leukemia,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: ERBB2 in Acute myeloid leukemia; pathway context: RTK signaling.
ERBB3,Acute myeloid leukemia,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: ERBB3 in Acute myeloid leukemia; pathway context: RTK signaling.
FBXW7,Acute myeloid leukemia,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: FBXW7 in Acute myeloid leukemia; pathway context: Protein turnover.
FLT3,Acute myeloid leukemia,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: FLT3 in Acute myeloid leukemia; pathway context: RTK signaling.
HIF1A,Acute myeloid leukemia,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: HIF1A in Acute myeloid leukemia; pathway context: Hypoxia / angiogenesis.
HRAS,Acute myeloid leukemia,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: HRAS in Acute myeloid leukemia; pathway context: RAS-MAPK signaling.
IDH1,Acute myeloid leukemia,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: IDH1 in Acute myeloid leukemia; pathway context: Metabolism / epigenetic state.
IDH2,Acute myeloid leukemia,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: IDH2 in Acute myeloid leukemia; pathway context: Metabolism / epigenetic state.
JAK1,Acute myeloid leukemia,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: JAK1 in Acute myeloid leukemia; pathway context: JAK-STAT / immune signaling.
JAK2,Acute myeloid leukemia,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: JAK2 in Acute myeloid leukemia; pathway context: JAK-STAT / immune signaling.
KEAP1,Acute myeloid leukemia,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: KEAP1 in Acute myeloid leukemia; pathway context: Oxidative stress / NRF2.
KIT,Acute myeloid leukemia,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: KIT in Acute myeloid leukemia; pathway context: Cancer-associated pathway context.
KMT2C,Acute myeloid leukemia,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: KMT2C in Acute myeloid leukemia; pathway context: Epigenetic regulation.
KMT2D,Acute myeloid leukemia,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: KMT2D in Acute myeloid leukemia; pathway context: Epigenetic regulation.
KRAS,Acute myeloid leukemia,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: KRAS in Acute myeloid leukemia; pathway context: RAS-MAPK signaling.
MDM2,Acute myeloid leukemia,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: MDM2 in Acute myeloid leukemia; pathway context: p53 pathway.
MDM4,Acute myeloid leukemia,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: MDM4 in Acute myeloid leukemia; pathway context: p53 pathway.
MET,Acute myeloid leukemia,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: MET in Acute myeloid leukemia; pathway context: RTK signaling.
MLH1,Acute myeloid leukemia,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: MLH1 in Acute myeloid leukemia; pathway context: Mismatch repair / MSI.
MSH2,Acute myeloid leukemia,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: MSH2 in Acute myeloid leukemia; pathway context: Mismatch repair / MSI.
MSH6,Acute myeloid leukemia,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: MSH6 in Acute myeloid leukemia; pathway context: Mismatch repair / MSI.
MSLN,Acute myeloid leukemia,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: MSLN in Acute myeloid leukemia; pathway context: Tumor antigen / adhesion.
MTOR,Acute myeloid leukemia,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: MTOR in Acute myeloid leukemia; pathway context: PI3K-AKT-mTOR signaling.
MUC1,Acute myeloid leukemia,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: MUC1 in Acute myeloid leukemia; pathway context: Epithelial antigen / mucin biology.
MUC16,Acute myeloid leukemia,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: MUC16 in Acute myeloid leukemia; pathway context: Epithelial antigen / mucin biology.
MYC,Acute myeloid leukemia,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: MYC in Acute myeloid leukemia; pathway context: MYC/proliferation program.
NECTIN4,Acute myeloid leukemia,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: NECTIN4 in Acute myeloid leukemia; pathway context: Tumor antigen.
NFE2L2,Acute myeloid leukemia,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: NFE2L2 in Acute myeloid leukemia; pathway context: Oxidative stress / NRF2.
NOTCH1,Acute myeloid leukemia,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: NOTCH1 in Acute myeloid leukemia; pathway context: Notch signaling.
NOTCH2,Acute myeloid leukemia,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: NOTCH2 in Acute myeloid leukemia; pathway context: Notch signaling.
NPM1,Acute myeloid leukemia,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: NPM1 in Acute myeloid leukemia; pathway context: Leukemia subtype biology.
NRAS,Acute myeloid leukemia,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: NRAS in Acute myeloid leukemia; pathway context: RAS-MAPK signaling.
PALB2,Acute myeloid leukemia,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: PALB2 in Acute myeloid leukemia; pathway context: DNA repair / HRD.
PDCD1LG2,Acute myeloid leukemia,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: PDCD1LG2 in Acute myeloid leukemia; pathway context: Immune checkpoint.
PIK3CA,Acute myeloid leukemia,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: PIK3CA in Acute myeloid leukemia; pathway context: PI3K-AKT signaling.
PIK3R1,Acute myeloid leukemia,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: PIK3R1 in Acute myeloid leukemia; pathway context: PI3K-AKT signaling.
PMS2,Acute myeloid leukemia,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: PMS2 in Acute myeloid leukemia; pathway context: Mismatch repair / MSI.
PTEN,Acute myeloid leukemia,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: PTEN in Acute myeloid leukemia; pathway context: PI3K-AKT signaling.
RAD51,Acute myeloid leukemia,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: RAD51 in Acute myeloid leukemia; pathway context: DNA repair / HRD.
RB1,Acute myeloid leukemia,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: RB1 in Acute myeloid leukemia; pathway context: Cell cycle.
RUNX1,Acute myeloid leukemia,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: RUNX1 in Acute myeloid leukemia; pathway context: Hematopoietic lineage state.
SMAD4,Acute myeloid leukemia,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: SMAD4 in Acute myeloid leukemia; pathway context: TGF-beta signaling.
SMARCA4,Acute myeloid leukemia,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: SMARCA4 in Acute myeloid leukemia; pathway context: Chromatin remodeling.
SMARCB1,Acute myeloid leukemia,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: SMARCB1 in Acute myeloid leukemia; pathway context: Chromatin remodeling.
TERT,Acute myeloid leukemia,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: TERT in Acute myeloid leukemia; pathway context: Telomere maintenance.
TET2,Acute myeloid leukemia,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: TET2 in Acute myeloid leukemia; pathway context: Epigenetic regulation.
TGFBR2,Acute myeloid leukemia,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: TGFBR2 in Acute myeloid leukemia; pathway context: TGF-beta signaling.
TP53,Acute myeloid leukemia,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: TP53 in Acute myeloid leukemia; pathway context: Tumor-suppressor pathway.
TROP2,Acute myeloid leukemia,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: TROP2 in Acute myeloid leukemia; pathway context: Tumor antigen.
VEGFA,Acute myeloid leukemia,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: VEGFA in Acute myeloid leukemia; pathway context: Angiogenesis / microenvironment.
AKT1,Adrenocortical carcinoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: AKT1 in Adrenocortical carcinoma; pathway context: PI3K-AKT signaling.
APC,Adrenocortical carcinoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: APC in Adrenocortical carcinoma; pathway context: WNT signaling.
ARID1A,Adrenocortical carcinoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: ARID1A in Adrenocortical carcinoma; pathway context: Chromatin remodeling.
ARID1B,Adrenocortical carcinoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: ARID1B in Adrenocortical carcinoma; pathway context: Chromatin remodeling.
ATM,Adrenocortical carcinoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: ATM in Adrenocortical carcinoma; pathway context: DNA damage response.
ATR,Adrenocortical carcinoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: ATR in Adrenocortical carcinoma; pathway context: DNA damage response.
B2M,Adrenocortical carcinoma,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: B2M in Adrenocortical carcinoma; pathway context: Antigen presentation.
BRAF,Adrenocortical carcinoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: BRAF in Adrenocortical carcinoma; pathway context: MAPK signaling.
BRCA1,Adrenocortical carcinoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: BRCA1 in Adrenocortical carcinoma; pathway context: DNA repair / HRD.
BRCA2,Adrenocortical carcinoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: BRCA2 in Adrenocortical carcinoma; pathway context: DNA repair / HRD.
CCND1,Adrenocortical carcinoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: CCND1 in Adrenocortical carcinoma; pathway context: Cell cycle.
CD274,Adrenocortical carcinoma,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: CD274 in Adrenocortical carcinoma; pathway context: Immune checkpoint.
CD276,Adrenocortical carcinoma,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: CD276 in Adrenocortical carcinoma; pathway context: Immune checkpoint / tumor antigen.
CDK4,Adrenocortical carcinoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: CDK4 in Adrenocortical carcinoma; pathway context: Cell cycle.
CDK6,Adrenocortical carcinoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: CDK6 in Adrenocortical carcinoma; pathway context: Cell cycle.
CDKN2A,Adrenocortical carcinoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: CDKN2A in Adrenocortical carcinoma; pathway context: Cell cycle.
CDKN2B,Adrenocortical carcinoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: CDKN2B in Adrenocortical carcinoma; pathway context: Cell cycle.
CHEK1,Adrenocortical carcinoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: CHEK1 in Adrenocortical carcinoma; pathway context: DNA damage response.
CHEK2,Adrenocortical carcinoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: CHEK2 in Adrenocortical carcinoma; pathway context: DNA damage response.
CLDN18,Adrenocortical carcinoma,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: CLDN18 in Adrenocortical carcinoma; pathway context: Epithelial antigen / tight junction.
CREBBP,Adrenocortical carcinoma,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: CREBBP in Adrenocortical carcinoma; pathway context: Epigenetic regulation.
CTNNB1,Adrenocortical carcinoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: CTNNB1 in Adrenocortical carcinoma; pathway context: WNT signaling.
EGFR,Adrenocortical carcinoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: EGFR in Adrenocortical carcinoma; pathway context: RTK signaling.
EP300,Adrenocortical carcinoma,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: EP300 in Adrenocortical carcinoma; pathway context: Epigenetic regulation.
EPCAM,Adrenocortical carcinoma,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: EPCAM in Adrenocortical carcinoma; pathway context: Epithelial antigen / adhesion.
ERBB2,Adrenocortical carcinoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: ERBB2 in Adrenocortical carcinoma; pathway context: RTK signaling.
ERBB3,Adrenocortical carcinoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: ERBB3 in Adrenocortical carcinoma; pathway context: RTK signaling.
FBXW7,Adrenocortical carcinoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: FBXW7 in Adrenocortical carcinoma; pathway context: Protein turnover.
HIF1A,Adrenocortical carcinoma,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: HIF1A in Adrenocortical carcinoma; pathway context: Hypoxia / angiogenesis.
HRAS,Adrenocortical carcinoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: HRAS in Adrenocortical carcinoma; pathway context: RAS-MAPK signaling.
IGF2,Adrenocortical carcinoma,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: IGF2 in Adrenocortical carcinoma; pathway context: Cancer-associated pathway context.
JAK1,Adrenocortical carcinoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: JAK1 in Adrenocortical carcinoma; pathway context: JAK-STAT / immune signaling.
JAK2,Adrenocortical carcinoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: JAK2 in Adrenocortical carcinoma; pathway context: JAK-STAT / immune signaling.
KEAP1,Adrenocortical carcinoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: KEAP1 in Adrenocortical carcinoma; pathway context: Oxidative stress / NRF2.
KMT2C,Adrenocortical carcinoma,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: KMT2C in Adrenocortical carcinoma; pathway context: Epigenetic regulation.
KMT2D,Adrenocortical carcinoma,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: KMT2D in Adrenocortical carcinoma; pathway context: Epigenetic regulation.
KRAS,Adrenocortical carcinoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: KRAS in Adrenocortical carcinoma; pathway context: RAS-MAPK signaling.
MDM2,Adrenocortical carcinoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: MDM2 in Adrenocortical carcinoma; pathway context: p53 pathway.
MDM4,Adrenocortical carcinoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: MDM4 in Adrenocortical carcinoma; pathway context: p53 pathway.
MEN1,Adrenocortical carcinoma,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: MEN1 in Adrenocortical carcinoma; pathway context: Cancer-associated pathway context.
MET,Adrenocortical carcinoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: MET in Adrenocortical carcinoma; pathway context: RTK signaling.
